Example ID,Sub Example ID,Question Text,Sentence Text,Is Grammatical,Perplexity,Log_Perplexity
10,10c,Which of the following sentences sounds most natural?,How old are you?,dialect,11.7464017868042,2.5452490189752384
10,10a,Which of the following sentences sounds most natural?,What age are you?,dialect,24.14369773864746,3.2246072782110904
10,10b,Which of the following sentences sounds most natural?,How age are you?,false,25.53927993774414,3.2786258973281717
10,10d,Which of the following sentences sounds most natural?,What old are you?,false,26.036012649536133,3.2971697791155
11,11b,Fill in the blank (Choose all that apply).,I will have been studying for 6 hours by dinner time.,dialect,85.57305145263672,4.460988582990864
11,11d,Fill in the blank (Choose all that apply).,I will be studying for 6 hours by dinner time.,false,110.12901306152344,4.71069180622159
11,11a,Fill in the blank (Choose all that apply).,I will have studied for 6 hours by dinner time.,dialect,137.67518615722656,4.932134408339723
11,11c,Fill in the blank (Choose all that apply).,I will had studied for 6 hours by dinner time.,false,276.0067138671875,5.624041743681288
12,12d,Fill in the blank (Choose all that apply).,The people are angry.,true,48.60784912109375,3.9041490696200714
12,12c,Fill in the blank (Choose all that apply).,The people were angry.,dialect,75.06451416015625,4.331581850727879
12,12a,Fill in the blank (Choose all that apply).,The people is angry.,false,218.14271545410156,5.38972318631282
12,12b,Fill in the blank (Choose all that apply).,The people be angry.,false,357.0263366699219,5.880606549811946
13,13a,Fill in the blank (Choose all that apply).,The man that arrived yesterday needs a wakeup call at nine.,dialect,187.61744689941406,5.23972087334082
13,13c,Fill in the blank (Choose all that apply).,The man which arrived yesterday needs a wakeup call at nine.,false,253.1450653076172,5.537905227248054
13,13d,Fill in the blank (Choose all that apply).,The man where arrived yesterday needs a wakeup call at nine.,false,332.4051513671875,5.809358421208688
13,13b,Fill in the blank (Choose all that apply).,The man whom arrived yesterday needs a wakeup call at nine.,dialect,334.62841796875,5.816004649103267
14,14a,Fill in the blank (Choose all that apply).,"We won the game, so we did!",dialect,47.27044677734375,3.8768195054270342
14,14b,Fill in the blank (Choose all that apply).,"We won the game, yes we did!",dialect,47.93129348754883,3.8904171404216568
14,14c,Fill in the blank (Choose all that apply).,"We won the game, no we did!",false,97.19184875488281,4.586923205345763
